4x4
1,4,1,0,7000000,7000000
2,1,4,0,7000000,7000000
3,3,1,0,7000000,7000000
4,1,3,0,7000000,7000000
5,4,2,0,7000000,7000000
6,2,4,0,7000000,7000000

5x5
1,5,1,0,7000000,7000000
2,1,5,0,7000000,7000000
3,4,1,0,7000000,7000000
4,1,4,0,7000000,7000000
5,5,2,0,7000000,7000000
6,2,5,0,7000000,7000000
7,4,2,0,7000000,7000000
8,2,4,0,7000000,7000000

6x6
1,6,1,0,7000000,7000000
2,1,6,0,7000000,7000000
3,5,1,0,7000000,7000000
4,1,5,0,7000000,7000000
5,6,2,0,7000000,7000000
6,2,6,0,7000000,7000000
7,5,2,0,7000000,7000000
8,2,5,0,7000000,7000000

1,4,2,0,7000000,7000000
2,3,3,0,7000000,7000000
3,4,3,0,7000000,7000000
4,5,3,0,7000000,7000000
5,2,4,0,7000000,7000000
6,3,4,0,7000000,7000000
7,4,4,0,7000000,7000000
8,5,4,0,7000000,7000000
9,6,4,0,7000000,7000000
10,3,5,0,7000000,7000000
11,4,5,0,7000000,7000000
12,5,5,0,7000000,7000000
13,4,6,0,7000000,7000000

1_3_1
1,1,1,0,7000000,7000000
2,1,2,0,7000000,7000000
3,1,3,0,7000000,7000000
4,1,4,0,7000000,7000000
5,1,5,0,7000000,7000000
6,1,6,0,7000000,7000000
7,1,7,0,7000000,7000000
8,1,8,0,7000000,7000000
9,1,9,0,7000000,7000000
10,9,1,0,7000000,7000000
11,9,2,0,7000000,7000000
12,9,3,0,7000000,7000000
13,9,4,0,7000000,7000000
14,9,5,0,7000000,7000000
15,9,6,0,7000000,7000000
16,9,7,0,7000000,7000000
17,9,8,0,7000000,7000000
18,9,9,0,7000000,7000000


